Date,Time spent,,,,,,,,,,,,,Num_of_destination
,Entering_Unloading,D_1 ,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,Exit,Total time,
4/3/2018,0:20:42,0:05:17,0:01:45,0:06:36,0:02:14,0:01:57,0:00:39,0:03:00,0:02:22,,,0:02:36,0:47:08,8
4/4/2018,0:06:36,0:02:39,0:05:44,0:02:47,0:02:11,0:01:55,,,,,,0:03:31,0:25:23,5
4/5/2018,0:07:07,0:00:10,0:05:34,0:03:39,0:03:09,0:07:47,0:02:07,0:01:43,0:03:55,0:03:28,,0:02:22,0:41:01,9
4/6/2018,0:06:41,0:05:12,0:06:12,0:01:57,0:10:53,0:02:03,,,,,,0:02:18,0:35:16,5
4/9/2018,0:15:25,0:02:43,0:18:10,0:08:44,,,,,,,,0:05:19,0:50:21,3
4/10/2018,0:08:50,0:03:11,0:03:30,0:03:21,0:02:19,0:03:48,0:03:08,0:02:09,0:02:59,,,0:04:38,0:37:53,8
4/11/2018,0:09:10,0:08:00,0:04:04,0:05:04,0:05:13,0:04:51,0:06:31,,,,,0:03:10,0:46:03,6
4/12/2018,0:06:30,0:02:37,0:01:38,0:05:24,0:03:59,0:02:52,0:03:09,0:03:02,0:04:32,,,0:04:02,0:37:45,8
4/13/2018,0:16:40,0:03:35,0:01:57,0:05:37,0:07:48,0:02:04,0:04:56,0:01:47,0:02:14,0:03:37,,0:16:52,1:07:07,9
,,,,,,,,,,,,,,
Delivery with locker operation,,,,,,,,,,,,,,
